	0.98	0.02	5.00	2.49
	0.99	0.03	5.00	2.49
	1.00	0.05	5.00	2.49
	0.99	0.06	5.00	2.49
	1.00	0.08	5.00	2.49
	1.00	0.09	5.00	2.49
	1.00	0.10	5.00	2.49
	1.00	0.12	5.00	2.49
	1.01	0.13	5.00	2.49
	1.01	0.15	5.00	2.49
	1.01	0.16	5.00	2.49
	1.02	0.18	5.00	2.49
	1.02	0.19	5.00	2.49
	1.03	0.21	5.00	2.49
	1.03	0.22	5.00	2.49
	1.03	0.24	5.00	2.49
	1.04	0.25	5.00	2.49
	1.05	0.27	5.00	2.49
	1.05	0.28	5.00	2.49
	1.06	0.30	5.00	2.49
	1.07	0.31	5.00	2.50
	1.07	0.32	5.00	2.49
	1.08	0.34	5.00	2.49
	1.09	0.35	5.00	2.49
	1.09	0.37	5.00	2.49
	1.09	0.38	5.00	2.49
	1.10	0.39	5.00	2.49
	1.11	0.41	5.00	2.49
	1.12	0.42	5.00	2.49
	1.13	0.44	5.00	2.49
	1.14	0.45	5.00	2.49
	1.15	0.46	5.00	2.49
	1.15	0.48	5.00	2.49
	1.16	0.49	5.00	2.49
	1.17	0.50	5.00	2.49
	1.18	0.52	5.00	2.50
	1.19	0.53	5.00	2.49
	1.20	0.54	5.00	2.49
	1.21	0.55	5.00	2.49
	1.22	0.57	5.00	2.50
	1.23	0.58	5.00	2.49
	1.24	0.59	5.00	2.49
	1.25	0.60	5.00	2.49
	1.26	0.62	5.00	2.50
	1.27	0.63	5.00	2.49
	1.28	0.64	5.00	2.49
	1.29	0.65	5.00	2.49
	1.30	0.67	5.00	2.49
	1.31	0.68	5.00	2.49
	1.32	0.69	5.00	2.49
	1.33	0.70	5.00	2.49
	1.34	0.71	5.00	2.49
	1.35	0.72	5.00	2.49
	1.36	0.73	5.00	2.49
	1.37	0.75	5.00	2.49
	1.38	0.76	5.00	2.49
	1.40	0.77	5.00	2.50
	1.41	0.78	5.00	2.49
	1.42	0.79	5.00	2.49
	1.43	0.80	5.00	2.49
	1.44	0.81	5.00	2.49
	1.45	0.82	5.00	2.49
	1.46	0.83	5.00	2.50
	1.48	0.84	5.00	2.49
	1.49	0.85	5.00	2.49
	1.50	0.86	5.00	2.49
	1.51	0.87	5.00	2.49
	1.52	0.88	5.00	2.49
	1.53	0.89	5.00	2.49
	1.54	0.90	5.00	2.49
	1.55	0.91	5.00	2.49
	1.57	0.92	5.00	2.49
	1.58	0.93	5.00	2.49
